CustomerID,Age,Annual_Income_k,Spending_Score_1100,Income_to_Spending_Ratio,Age_Group,Spending_Behavior,Savings_Potential,Spending_Type
1,56,144.415,68,2.12375,Senior,High,76.41499999999999,Balanced
2,69,39.375,86,0.4578488372093023,Senior,High,-46.625,High Spending
3,46,26.964,66,0.40854545454545454,Middle-Aged,Medium,-39.036,High Spending
4,32,123.429,10,12.3429,Middle-Aged,Low,113.429,High Savings
5,60,77.215,5,15.443000000000001,Senior,Low,72.215,High Savings
6,25,79.042,74,1.0681351351351351,Young,High,5.042000000000002,High Spending
7,38,103.468,97,1.066680412371134,Middle-Aged,High,6.4680000000000035,High Spending
8,56,19.435,38,0.5114473684210527,Senior,Medium,-18.565,High Spending
9,36,88.832,13,6.833230769230768,Middle-Aged,Low,75.832,High Savings
10,40,61.293,31,1.9771935483870968,Middle-Aged,Low,30.293,High Spending
11,28,88.781,47,1.8889574468085109,Young,Medium,41.781000000000006,High Spending
12,28,53.919,100,0.53919,Young,High,-46.081,High Spending
13,41,131.172,88,1.490590909090909,Middle-Aged,High,43.172,High Spending
14,53,104.758,52,2.014576923076923,Senior,Medium,52.757999999999996,Balanced
15,57,66.573,56,1.1888035714285714,Senior,Medium,10.572999999999993,High Spending
16,41,69.101,15,4.606733333333334,Middle-Aged,Low,54.101,High Savings
17,20,36.646,29,1.2636551724137932,Young,Low,7.646000000000001,High Spending
18,39,114.185,8,14.273125,Middle-Aged,Low,106.185,High Savings
19,19,33.049,5,6.6098,Young,Low,28.049,High Savings
20,41,108.116,29,3.7281379310344827,Middle-Aged,Low,79.116,Balanced
21,61,107.379,47,2.284659574468085,Senior,Medium,60.379000000000005,Balanced
22,47,78.385,68,1.1527205882352942,Middle-Aged,High,10.385000000000005,High Spending
23,55,136.131,76,1.7911973684210527,Senior,High,60.131,High Spending
24,19,33.289,45,0.7397555555555556,Young,Medium,-11.710999999999999,High Spending
25,38,120.226,2,60.113,Middle-Aged,Low,118.226,High Savings
26,50,110.793,27,4.1034444444444444,Middle-Aged,Low,83.793,High Savings
27,29,19.823,95,0.20866315789473686,Young,High,-75.17699999999999,High Spending
28,39,51.975,36,1.44375,Middle-Aged,Medium,15.975000000000001,High Spending
29,61,19.54,36,0.5427777777777778,Senior,Medium,-16.46,High Spending
30,42,26.364,26,1.014,Middle-Aged,Low,0.36400000000000077,High Spending
31,66,145.683,43,3.387976744186046,Senior,Medium,102.68299999999999,Balanced
32,44,37.663,27,1.394925925925926,Middle-Aged,Low,10.662999999999997,High Spending
33,59,61.991,69,0.8984202898550725,Senior,High,-7.009,High Spending
34,45,114.182,20,5.7091,Middle-Aged,Low,94.182,High Savings
35,33,104.704,11,9.518545454545453,Middle-Aged,Low,93.704,High Savings
36,32,59.115,74,0.7988513513513513,Middle-Aged,High,-14.884999999999998,High Spending
37,64,101.007,38,2.658078947368421,Senior,Medium,63.007000000000005,Balanced
38,68,21.938,6,3.656333333333333,Senior,Low,15.937999999999999,Balanced
39,61,101.68,72,1.4122222222222223,Senior,High,29.680000000000007,High Spending
40,69,14.0,23,0.6086956521739131,Senior,Low,-9.0,High Spending
41,20,111.042,47,2.362595744680851,Young,Medium,64.042,Balanced
42,54,103.61,90,1.1512222222222221,Senior,High,13.61,High Spending
43,68,113.691,46,2.4715434782608696,Senior,Medium,67.691,Balanced
44,24,48.304,12,4.025333333333333,Young,Low,36.304,High Savings
45,38,79.449,90,0.8827666666666667,Middle-Aged,High,-10.551000000000002,High Spending
46,26,92.986,13,7.152769230769231,Young,Low,79.986,High Savings
47,56,118.94,62,1.9183870967741936,Senior,Medium,56.94,High Spending
48,35,48.494,82,0.591390243902439,Middle-Aged,High,-33.506,High Spending
49,21,13.373,89,0.15025842696629213,Young,High,-75.627,High Spending
50,42,107.532,97,1.1085773195876287,Middle-Aged,High,10.531999999999996,High Spending
51,31,102.658,60,1.7109666666666667,Middle-Aged,Medium,42.658,High Spending
52,67,133.633,43,3.107744186046512,Senior,Medium,90.63300000000001,Balanced
53,26,110.386,76,1.4524473684210526,Young,High,34.385999999999996,High Spending
54,43,37.35,100,0.3735,Middle-Aged,High,-62.65,High Spending
55,19,103.008,68,1.5148235294117647,Young,High,35.007999999999996,High Spending
56,37,104.297,5,20.8594,Middle-Aged,Low,99.297,High Savings
57,45,35.351,37,0.9554324324324324,Middle-Aged,Medium,-1.649000000000001,High Spending
58,64,98.668,72,1.3703888888888889,Senior,High,26.668000000000006,High Spending
59,24,124.585,92,1.3541847826086957,Young,High,32.584999999999994,High Spending
